OrderID,Username,OrderItem,FinalPrice,Quantity,TotalPrice,TransactionDate,Status,Rating
ORD1163,lina44,Brownie,9.50,2,19.00,2024-09-24 10:30,Done,3
ORD1163,lina44,Doughnuts,3.50,6,21.00,2024-09-24 10:30,Done,4
ORD1164,june78,Muffin,3.50,8,28.00,2024-09-25 11:15,Done,4
ORD1165,tina98,Bagels,7.50,10,75.00,2024-09-26 13:00,Done,4
ORD1165,tina98,Croissants,8.50,5,42.50,2024-09-26 13:00,Done,5
ORD1166,ben_j34,Muffin,3.50,15,52.50,2024-09-27 11:30,Done,3
ORD1167,max89,Doughnuts,3.50,8,28.00,2024-09-28 14:15,Done,4
ORD1168,lucas45,Croissants,8.50,12,102.00,2024-09-29 10:00,Done,5
ORD1169,kira_w66,Brownie,9.50,4,38.00,2024-09-30 09:45,Done,4
ORD1170,sara76,Tart,4.50,6,27.00,2024-09-30 15:30,Done,5
ORD1170,sara76,Croissants,8.50,5,42.50,2024-09-30 15:30,Done,3
ORD1171,june78,Doughnuts,3.50,10,35.00,2024-09-30 11:00,Done,5
ORD1172,harry23,Muffin,3.50,8,28.00,2024-09-30 16:00,Pending,-
ORD1173,nash_j72,Brownie,9.50,3,28.50,2024-09-30 12:30,Pending,-
ORD1173,nash_j72,Cookies,3.50,10,35.00,2024-09-30 12:30,Done,5
ORD1174,kenny12,Croissants,8.50,5,42.50,2024-09-30 14:00,Pending,-
ORD1175,lina44,Tiramisu,11.00,2,22.00,2024-09-30 17:15,Pending,-
ORD1175,lina44,Bagels,7.50,2,15.00,2024-09-30 17:15,Pending,-
ORD1176,max89,Croissants,7.48,13,97.24,2024-11-03 02:20,Done,4
ORD1176,max89,Muffin,3.08,5,15.40,2024-11-03 02:20,Done,-
ORD1176,max89,Brownie,8.36,2,16.72,2024-11-03 02:20,Done,4
ORD1177,max89,Bagels,6.10,14,85.40,2024-11-03 02:26,Pending,-
ORD1177,max89,Cookies,3.08,30,92.40,2024-11-03 02:26,Pending,-
ORD1177,max89,Brownie,8.36,9,75.24,2024-11-03 02:26,Done,-
ORD1177,max89,Sausage Roll,3.52,24,84.48,2024-11-03 02:26,Done,-
ORD1177,max89,Cheesecake,9.24,8,73.92,2024-11-03 02:26,Done,-
ORD1178,lina44,Cookies,3.08,29,89.32,2024-11-03 07:35,Pending,-
ORD1178,lina44,Brownie,8.36,5,41.80,2024-11-03 07:35,Done,-
ORD1178,lina44,Tiramisu,9.68,9,87.12,2024-11-03 07:35,Done,-
ORD1178,lina44,Sandwich,5.72,23,131.56,2024-11-03 07:35,Pending,-
ORD1179,max89,Cookies,2.93,30,87.90,2024-11-03 16:44,Pending,-
